prescribing_cost,date,prescribing_items,prescribing_quantity,organisation_code,organisation_name,year,month,cost_per_item
4500.99,2021-02-01,1403,50158,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,2021,2,3.2081183178902353
4484.75,2021-02-01,1460,50842,70F,NHS WEST SUSSEX,2021,2,3.0717465753424658
5242.55,2021-02-01,1747,58871,71E,NHS LINCOLNSHIRE,2021,2,3.0008872352604468
8380.96,2021-02-01,2699,98688,72Q,NHS SOUTH EAST LONDON,2021,2,3.105209336791404
3744.05,2021-02-01,1173,43219,78H,NHS NORTHAMPTONSHIRE,2021,2,3.191858482523444
2514.25,2021-02-01,813,28126,84H,NHS COUNTY DURHAM,2021,2,3.0925584255842558
10096.75,2021-02-01,3281,117582,91Q,NHS KENT AND MEDWAY,2021,2,3.077339225845779
5890.52,2021-02-01,1963,74375,92A,NHS SURREY HEARTLANDS,2021,2,3.0007743250127357
4614.9,2021-02-01,1440,53674,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",2021,2,3.2047916666666665
5899.38,2021-02-01,1892,70662,93C,NHS NORTH CENTRAL LONDON,2021,2,3.1180655391120506
2814.66,2021-02-01,896,33891,97R,NHS EAST SUSSEX,2021,2,3.141361607142857
1799.25,2021-02-01,603,20883,99A,NHS LIVERPOOL,2021,2,2.9838308457711444
1258.68,2021-02-01,408,16522,99C,NHS NORTH TYNESIDE,2021,2,3.085
1529.64,2021-02-01,487,16764,99E,NHS BASILDON AND BRENTWOOD,2021,2,3.1409445585215607
1260.43,2021-02-01,398,13368,99F,NHS CASTLE POINT AND ROCHFORD,2021,2,3.1669095477386935
1438.11,2021-02-01,451,17192,99G,NHS SOUTHEND,2021,2,3.188713968957871
9873.05,2021-02-01,3191,117674,A3A8R,NHS NORTH EAST LONDON,2021,2,3.0940300846129736
6333.32,2021-02-01,2134,78891,B2M3M,NHS COVENTRY AND WARWICKSHIRE,2021,2,2.967816307403936
4527.93,2021-02-01,1449,53029,D2P2L,NHS BLACK COUNTRY,2021,2,3.124865424430642
4195.02,2021-02-01,1285,50035,D4U1Y,NHS FRIMLEY,2021,2,3.264607003891051
8376.66,2021-02-01,2751,96722,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",2021,2,3.04495092693566
5435.31,2021-02-01,1825,61674,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",2021,2,2.978252054794521
1666.35,2021-02-01,564,20844,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",2021,2,2.9545212765957447
9403.77,2021-02-01,3046,110861,W2U3Z,NHS NORTH WEST LONDON,2021,2,3.087252133946159
2213.45,2021-02-01,666,24763,X2C4Y,NHS KIRKLEES,2021,2,3.3234984984984983
2239.08,2021-03-01,706,26588,00L,NHS NORTHUMBERLAND,2021,3,3.1715014164305946
578.6,2021-03-01,189,7374,00N,NHS SOUTH TYNESIDE,2021,3,3.0613756613756613
1232.6,2021-03-01,401,15461,00P,NHS SUNDERLAND,2021,3,3.073815461346633
738.83,2021-03-01,274,9447,00Q,NHS BLACKBURN WITH DARWEN,2021,3,2.6964598540145985
957.64,2021-03-01,318,9960,00R,NHS BLACKPOOL,2021,3,3.011446540880503
1644.77,2021-03-01,466,20163,00T,NHS BOLTON,2021,3,3.529549356223176
958.01,2021-03-01,268,12127,00V,NHS BURY,2021,3,3.5746641791044778
784.22,2021-03-01,256,9116,00X,NHS CHORLEY AND SOUTH RIBBLE,2021,3,3.063359375
1103.2,2021-03-01,369,19724,00Y,NHS OLDHAM,2021,3,2.9897018970189704
1367.03,2021-03-01,469,18397,01A,NHS EAST LANCASHIRE,2021,3,2.914776119402985
1073.96,2021-03-01,369,14484,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2021,3,2.910460704607046
1099.41,2021-03-01,357,16222,01E,NHS GREATER PRESTON,2021,3,3.079579831932773
531.23,2021-03-01,173,5737,01F,NHS HALTON,2021,3,3.0706936416184973
1638.32,2021-03-01,462,24379,01G,NHS SALFORD,2021,3,3.546147186147186
2295.62,2021-03-01,756,26385,01H,NHS NORTH CUMBRIA,2021,3,3.036534391534391
505.84,2021-03-01,182,4839,01J,NHS KNOWSLEY,2021,3,2.7793406593406593
2486.7,2021-03-01,815,30548,01K,NHS MORECAMBE BAY,2021,3,3.0511656441717787
597.99,2021-03-01,204,6486,01T,NHS SOUTH SEFTON,2021,3,2.9313235294117646
564.59,2021-03-01,193,7269,01V,NHS SOUTHPORT AND FORMBY,2021,3,2.925336787564767
1326.53,2021-03-01,428,19235,01W,NHS STOCKPORT,2021,3,3.0993691588785044
573.15,2021-03-01,196,6228,01X,NHS ST HELENS,2021,3,2.9242346938775508
553.29,2021-03-01,171,8025,01Y,NHS TAMESIDE AND GLOSSOP,2021,3,3.235614035087719
1306.89,2021-03-01,402,18130,02A,NHS TRAFFORD,2021,3,3.2509701492537317
854.73,2021-03-01,281,11202,02E,NHS WARRINGTON,2021,3,3.041743772241993
496.42,2021-03-01,152,5950,02G,NHS WEST LANCASHIRE,2021,3,3.265921052631579
1685.88,2021-03-01,543,22207,02H,NHS WIGAN BOROUGH,2021,3,3.1047513812154697
905.81,2021-03-01,324,10523,02M,NHS FYLDE AND WYRE,2021,3,2.7957098765432096
1341.61,2021-03-01,429,14659,02P,NHS BARNSLEY,2021,3,3.1272960372960372
347.84,2021-03-01,110,3374,02Q,NHS BASSETLAW,2021,3,3.1621818181818178
881.9,2021-03-01,295,11191,02T,NHS CALDERDALE,2021,3,2.9894915254237286
1058.74,2021-03-01,332,12961,02X,NHS DONCASTER,2021,3,3.188975903614458
1264.68,2021-03-01,430,13941,02Y,NHS EAST RIDING OF YORKSHIRE,2021,3,2.941116279069768
